[1/335] Generating px4 event json file from source
[2/335] Generating combined event json file
[3/335] Generating parameters.xml
[4/335] Generating component_general.json and checksums.h
[219/335] Building CXX object src/modules/sensors/vehicle_imu/CMakeFiles/vehicle_imu.dir/VehicleIMU.cpp.obj
[220/335] Building CXX object src/modules/sensors/vehicle_angular_velocity/CMakeFiles/vehicle_angular_velocity.dir/VehicleAngularVelocity.cpp.obj
[221/335] Building CXX object src/modules/sensors/vehicle_magnetometer/CMakeFiles/vehicle_magnetometer.dir/VehicleMagnetometer.cpp.obj
[222/335] Building CXX object src/modules/sensors/vehicle_gps_position/CMakeFiles/vehicle_gps_position.dir/VehicleGPSPosition.cpp.obj
[223/335] Building CXX object src/modules/sensors/vehicle_air_data/CMakeFiles/vehicle_air_data.dir/VehicleAirData.cpp.obj
[224/335] Building CXX object src/modules/temperature_compensation/CMakeFiles/modules__temperature_compensation.dir/TemperatureCompensationModule.cpp.obj
[225/335] Building CXX object src/modules/sensors/vehicle_optical_flow/CMakeFiles/vehicle_optical_flow.dir/VehicleOpticalFlow.cpp.obj
[226/335] Building CXX object src/modules/uxrce_dds_client/CMakeFiles/modules__uxrce_dds_client.dir/uxrce_dds_client.cpp.obj
[227/335] Building CXX object src/systemcmds/i2c_launcher/CMakeFiles/systemcmds__i2c_launcher.dir/i2c_launcher.cpp.obj
[228/335] Building CXX object src/lib/parameters/flashparams/CMakeFiles/flashparams.dir/flashparams.cpp.obj
[229/335] Building CXX object src/lib/parameters/CMakeFiles/parameters.dir/parameters.cpp.obj
[230/335] Linking CXX static library src/lib/parameters/flashparams/libflashparams.a
[231/335] Building CXX object src/lib/hybrid_control/CMakeFiles/hybrid_control.dir/HybridSequenceCoordinator.cpp.obj
[232/335] Linking CXX static library src/lib/parameters/libparameters.a
[233/335] Linking CXX static library src/lib/led/libled.a
[234/335] Linking CXX static library src/lib/battery/libbattery.a
[235/335] Linking CXX static library src/lib/rtl/librtl_time_estimator.a
[236/335] Linking CXX static library src/lib/weather_vane/libWeatherVane.a
[237/335] Linking CXX static library src/lib/mixer_module/libmixer_module.a
[238/335] Linking CXX static library src/lib/collision_prevention/libCollisionPrevention.a
[239/335] Linking CXX static library src/lib/pure_pursuit/libpure_pursuit.a
[240/335] Linking CXX static library src/lib/stick_yaw/libStickYaw.a
[241/335] Linking CXX static library src/lib/control_allocation/control_allocation/libControlAllocation.a
[242/335] Linking CXX static library src/drivers/cdcacm_autostart/libdrivers__cdcacm_autostart.a
[243/335] Linking CXX static library src/drivers/distance_sensor/lightware_laser_i2c/libdrivers__distance_sensor__lightware_laser_i2c.a
[244/335] Linking CXX static library src/drivers/lights/rgbled/libdrivers__rgbled.a
[245/335] Linking CXX static library src/lib/hybrid_control/libhybrid_control.a
[246/335] Linking CXX static library src/drivers/ins/vectornav/libdrivers__ins__vectornav.a
[247/335] Linking CXX static library src/drivers/heater/libdrivers__heater.a
[248/335] Linking CXX static library src/drivers/lights/rgbled_lp5562/libdrivers__rgbled_lp5562.a
[249/335] Linking CXX static library src/drivers/dshot/libdrivers__dshot.a
[250/335] Linking CXX static library src/drivers/lights/rgbled_is31fl3195/libdrivers__rgbled_is31fl3195.a
[251/335] Linking CXX static library src/drivers/lights/rgbled_ncp5623c/libdrivers__rgbled_ncp5623c.a
[252/335] ROMFS: pruning
[253/335] Linking CXX static library src/drivers/osd/msp_osd/libdrivers__osd__msp_osd.a
[254/335] Linking CXX static library src/drivers/power_monitor/pm_selector_auterion/libdrivers__power_monitor_pm_selector_auterion.a
[255/335] Linking CXX static library src/drivers/power_monitor/ina226/libdrivers__ina226.a
[256/335] Linking CXX static library src/drivers/pwm_out/libdrivers__pwm_out.a
[257/335] Linking CXX static library src/drivers/power_monitor/ina238/libdrivers__ina238.a
[258/335] Linking CXX static library src/drivers/power_monitor/ina228/libdrivers__ina228.a
[259/335] Linking CXX static library src/drivers/rc_input/libdrivers__rc_input.a
[260/335] Linking CXX static library src/drivers/uavcan/m2006_can/libdrivers__m2006_can.a
[261/335] Linking CXX static library src/drivers/px4io/libdrivers__px4io.a
[262/335] Linking CXX static library src/modules/commander/failsafe/libfailsafe.a
[263/335] Linking CXX static library src/modules/battery_status/libmodules__battery_status.a
[264/335] Linking CXX static library src/modules/commander/MulticopterThrowLaunch/libMulticopterThrowLaunch.a
[265/335] Linking CXX static library src/modules/commander/failure_detector/libfailure_detector.a
[266/335] Linking CXX static library src/modules/flight_mode_manager/tasks/FlightTask/libFlightTask.a
[267/335] Linking CXX static library src/modules/esc_battery/libmodules__esc_battery.a
[268/335] Linking CXX static library src/modules/load_mon/libmodules__load_mon.a
[269/335] Linking CXX static library src/modules/gyro_calibration/libmodules__gyro_calibration.a
[270/335] Linking CXX static library src/modules/control_allocator/VehicleActuatorEffectiveness/libVehicleActuatorEffectiveness.a
[271/335] Linking CXX static library src/modules/events/libmodules__events.a
[272/335] Linking CXX static library src/modules/flight_mode_manager/tasks/AutoFollowTarget/follow_target_estimator/libfollow_target_estimator.a
[273/335] Linking CXX static library src/modules/flight_mode_manager/tasks/Utility/libFlightTaskUtility.a
[274/335] Linking CXX static library src/modules/land_detector/libmodules__land_detector.a
[275/335] Linking CXX static library src/modules/commander/HealthAndArmingChecks/libhealth_and_arming_checks.a
[276/335] Linking CXX static library src/modules/mag_bias_estimator/libmodules__mag_bias_estimator.a
[277/335] Linking CXX static library src/modules/mc_att_control/libmodules__mc_att_control.a
[278/335] Linking CXX static library src/modules/manual_control/libmodules__manual_control.a
[279/335] Linking CXX static library src/modules/mc_autotune_attitude_control/libmc_autotune_attitude_control.a
[280/335] Linking CXX static library src/modules/flight_mode_manager/tasks/Failsafe/libFlightTaskFailsafe.a
[281/335] Linking CXX static library src/modules/control_allocator/libmodules__control_allocator.a
[282/335] Linking CXX static library src/modules/flight_mode_manager/tasks/Auto/libFlightTaskAuto.a
[283/335] Linking CXX static library src/modules/flight_mode_manager/tasks/Descend/libFlightTaskDescend.a
[284/335] Linking CXX static library src/modules/flight_mode_manager/tasks/Transition/libFlightTaskTransition.a
[285/335] Linking CXX static library src/modules/flight_mode_manager/tasks/ManualAltitude/libFlightTaskManualAltitude.a
[286/335] Linking CXX static library src/modules/navigator/GeofenceBreachAvoidance/libgeofence_breach_avoidance.a
[287/335] Linking CXX static library src/modules/flight_mode_manager/tasks/AutoFollowTarget/libFlightTaskAutoFollowTarget.a
[288/335] Linking CXX static library src/modules/mc_hover_thrust_estimator/libmodules__mc_hover_thrust_estimator.a
[289/335] Linking CXX static library src/modules/mc_rate_control/libmodules__mc_rate_control.a
[290/335] Linking CXX static library src/modules/mc_pos_control/libmodules__mc_pos_control.a
[291/335] Linking CXX static library src/modules/flight_mode_manager/tasks/ManualAltitudeSmoothVel/libFlightTaskManualAltitudeSmoothVel.a
[292/335] Linking CXX static library src/modules/rc_update/libmodules__rc_update.a
[293/335] Linking CXX static library src/modules/flight_mode_manager/tasks/ManualPosition/libFlightTaskManualPosition.a
[294/335] Linking CXX static library src/modules/rover_differential/DifferentialRateControl/libDifferentialRateControl.a
[295/335] Linking CXX static library src/modules/navigator/MissionFeasibility/libmission_feasibility_checker.a
[296/335] Linking CXX static library src/modules/ekf2/libmodules__ekf2_original.a
[297/335] Linking CXX static library src/modules/rover_differential/DifferentialAttControl/libDifferentialAttControl.a
[298/335] Linking CXX static library src/modules/rover_differential/DifferentialVelControl/libDifferentialVelControl.a
[299/335] Linking CXX static library src/modules/rover_differential/DifferentialPosControl/libDifferentialPosControl.a
[300/335] Linking CXX static library src/modules/flight_mode_manager/tasks/Orbit/libFlightTaskOrbit.a
[301/335] Linking CXX static library src/modules/flight_mode_manager/tasks/ManualAcceleration/libFlightTaskManualAcceleration.a
[302/335] Linking CXX static library src/modules/sensors/vehicle_acceleration/libvehicle_acceleration.a
[303/335] Linking CXX static library src/modules/rover_pos_control/libmodules__rover_pos_control.a
[304/335] Linking CXX static library src/modules/sensors/vehicle_imu/libvehicle_imu.a
[305/335] Linking CXX static library src/modules/rover_differential/libmodules__rover_differential.a
[306/335] Linking CXX static library src/modules/sensors/vehicle_air_data/libvehicle_air_data.a
[307/335] Linking CXX static library src/modules/navigator/libmodules__navigator.a
[308/335] Building CXX object src/modules/ekf2/CMakeFiles/modules__ekf2.dir/modules__ekf2_unity.cpp.obj
[309/335] Linking CXX static library src/modules/sensors/vehicle_angular_velocity/libvehicle_angular_velocity.a
[310/335] Linking CXX static library src/modules/sensors/vehicle_optical_flow/libvehicle_optical_flow.a
[311/335] Linking CXX static library src/modules/flight_mode_manager/tasks/ManualAccelerationSlow/libFlightTaskManualAccelerationSlow.a
[312/335] Linking CXX static library src/modules/commander/libmodules__commander.a
[313/335] Linking CXX static library src/modules/sensors/vehicle_gps_position/libvehicle_gps_position.a
[314/335] Linking CXX static library src/modules/sensors/vehicle_magnetometer/libvehicle_magnetometer.a
[315/335] Linking CXX static library src/systemcmds/i2c_launcher/libsystemcmds__i2c_launcher.a
[316/335] Linking CXX static library src/modules/flight_mode_manager/libmodules__flight_mode_manager.a
[317/335] Linking CXX static library src/modules/uxrce_dds_client/libmodules__uxrce_dds_client.a
[318/335] Linking CXX static library src/modules/sensors/libmodules__sensors.a
[319/335] Linking CXX static library src/modules/temperature_compensation/libmodules__temperature_compensation.a
[320/335] Linking CXX static library src/modules/ekf2/libmodules__ekf2.a
[321/335] Linking CXX static library src/drivers/uavcan/libdrivers__uavcan.a
[322/335] ROMFS: generating image
[323/335] Building C object ROMFS/CMakeFiles/romfs.dir/nsh_romfsimg.c.obj
[324/335] Linking C static library ROMFS/libromfs.a
[325/335] Building CXX object src/modules/hybrid_vehicle_control/CMakeFiles/modules__hybrid_vehicle_control.dir/hybrid_vehicle_control.cpp.obj
[326/335] Linking CXX static library src/modules/hybrid_vehicle_control/libmodules__hybrid_vehicle_control.a
[327/335] Building CXX object src/modules/logger/CMakeFiles/modules__logger.dir/logger.cpp.obj
[328/335] Linking CXX static library src/modules/logger/libmodules__logger.a
[329/335] Building CXX object src/modules/mavlink/CMakeFiles/modules__mavlink_original.dir/mavlink_messages.cpp.obj
[330/335] Linking CXX static library src/modules/mavlink/libmodules__mavlink_original.a
[331/335] Building CXX object src/modules/mavlink/CMakeFiles/modules__mavlink.dir/modules__mavlink_unity.cpp.obj
[332/335] Linking CXX static library src/modules/mavlink/libmodules__mavlink.a
[333/335] Linking CXX executable zeroone_x6_hybrid.elf
Memory region         Used Size  Region Size  %age Used
        ITCM_RAM:          0 GB        64 KB      0.00%
           FLASH:     1889984 B      1920 KB     96.13%
       DTCM1_RAM:          0 GB        64 KB      0.00%
       DTCM2_RAM:          0 GB        64 KB      0.00%
        AXI_SRAM:       99844 B       512 KB     19.04%
           SRAM1:          0 GB       128 KB      0.00%
           SRAM2:          0 GB       128 KB      0.00%
           SRAM3:          0 GB        32 KB      0.00%
           SRAM4:          2 KB        64 KB      3.12%
          BKPRAM:          0 GB         4 KB      0.00%
[334/335] Generating ../../zeroone_x6_hybrid.bin
[335/335] Creating /home/crocodile/PX4-Autopilot-hx8-hx65hm/build/zeroone_x6_hybrid/zeroone_x6_hybrid.px4
